Electoral Division,COUNTY,ED Latitude,ED Longitude,ED Area,Population,No. of Commuters
107001 - ABBEYLEIX,LAOIS,52.90211736,-7.36873021,40.65995,2780,1553
107002 - AGHMACART,LAOIS,52.82377829,-7.43166567,18.892963,375,236
107003 - ARDERIN,LAOIS,53.03375951,-7.61707706,23.948051,279,172
107004 - ARDOUGH,LAOIS,52.82352932,-7.05093355,17.867423,345,213
107005 - ARLESS,LAOIS,52.90010097,-7.02901867,16.005452,421,256
107006 - BALLICKMOYLER,LAOIS,52.86143924,-7.01012067,13.888634,651,349
107007 - BALLINAKILL,LAOIS,52.87478384,-7.29374191,19.816087,826,484
107008 - BALLYADAMS,LAOIS,52.97957294,-7.07322897,17.459942,427,289
107009 - BALLYBRITTAS,LAOIS,53.11495361,-7.17382461,15.677199,1283,781
107010 - BALLYBROPHY,LAOIS,52.90097323,-7.61725076,10.083738,192,122
107011 - BALLYCARROLL,LAOIS,53.04803097,-7.21354414,10.245828,337,209
107012 - BALLYFIN,LAOIS,53.06036322,-7.42857621,35.165638,661,389
107013 - BALLYLEHANE,LAOIS,52.9084396,-7.08611734,6.674325,166,89
107014 - BALLYLYNAN,LAOIS,52.9500342,-7.0599348,14.260741,1455,846
107015 - BALLYROAN,LAOIS,52.95705675,-7.3029358,22.332584,1071,660
107016 - BARROWHOUSE,LAOIS,52.96050636,-7.01343117,13.004295,484,287
107017 - BLANDSFORT,LAOIS,52.92019429,-7.26448213,20.528161,306,173
107018 - BORRIS,LAOIS,53.06922481,-7.31726202,17.523415,1686,895
107019 - BORRIS-in-OSSORY,LAOIS,52.92741444,-7.60701494,20.82828,832,409
107020 - BRISHA / CAPARD,LAOIS,53.07507322,-7.48237592,31.698241,321,192
107021 - CAHER,LAOIS,52.9655417,-7.60156582,8.337559,98,54
107023 - CAPPALOUGH,LAOIS,53.18963868,-7.39323695,16.408804,340,218
107024 - CARDTOWN,LAOIS,53.05801571,-7.58835769,25.230589,171,116
107025 - CASTLECUFFE,LAOIS,53.13982619,-7.58963558,29.936522,399,214
107026 - CASTLETOWN,LAOIS,52.96136787,-7.54210478,24.204357,775,418
107027 - CLASH,LAOIS,52.92630375,-7.43057402,15.13631,370,219
107028 - CLONASLEE,LAOIS,53.14225043,-7.5275638,41.876856,939,506
107029 - CLONDARRIG,LAOIS,53.03239013,-7.3524596,15.190182,1872,1102
107030 - CLONIN,LAOIS,53.00410423,-7.52150807,13.270431,227,134
107031 - CLONKEEN,LAOIS,52.99632643,-7.35874291,26.231801,668,455
107032 - CLONMORE,LAOIS,52.87959639,-7.68037992,15.267816,211,112
107033 - COLT,LAOIS,52.96469616,-7.33924804,10.135548,174,100
107034 - COOLRAIN,LAOIS,52.99108358,-7.56538822,11.91873,300,161
107035 - CUFFSBOROUGH,LAOIS,52.90965903,-7.47181242,19.751091,332,218
107036 - CULLAHILL,LAOIS,52.81159149,-7.48861411,16.960038,359,234
107037 - CULLENAGH,LAOIS,52.96919469,-7.25781148,12.434932,144,91
107038 - CURRACLONE,LAOIS,53.01503678,-7.10408055,12.765011,266,162
107039 - DANGANS,LAOIS,53.12358056,-7.28499877,12.385816,1660,906
107040 - DONAGHMORE,LAOIS,52.87323,-7.58208772,13.741612,260,144
107041 - DONORE,LAOIS,52.957347,-7.47945367,23.153798,456,284
107042 - DOONANE,LAOIS,52.87487449,-7.12881628,14.040834,771,388
107043 - DUNMORE,LAOIS,52.87115764,-7.39030427,10.411113,269,173
107044 - DURROW,LAOIS,52.83970094,-7.38085721,25.962973,1258,763
107045 - DYSARTGALLEN,LAOIS,52.89605951,-7.22977627,20.789854,255,159
107046 - EMO,LAOIS,53.10501422,-7.19590419,37.40205,1252,672
107047 - ERRILL,LAOIS,52.84349829,-7.68627893,17.857274,407,245
107048 - FARNANS,LAOIS,52.89515729,-7.06684925,12.439476,186,112
107049 - FOSSY,LAOIS,52.93705784,-7.19262579,16.547456,167,101
107050 - GARRYMORE,LAOIS,53.17701835,-7.35518913,11.929272,235,162
107051 - GRAIGUE,LAOIS,53.14266277,-7.33873176,12.981176,183,73
